0.0001 9.999e-05 9.999e-05
0.00161881 0.00161619 0.00161619
0.00284758 0.00283948 0.00283949
0.0040257 0.00400952 0.00400953
0.00515907 0.00513251 0.00513252
0.00625914 0.00622007 0.00622009
0.00733559 0.00728196 0.00728198
0.00839551 0.00832529 0.00832532
0.00944388 0.00935508 0.00935511
0.0104842 0.0103748 0.0103748
0.0115187 0.0113868 0.0113868
0.0125492 0.0123927 0.0123928
0.0135768 0.0133937 0.0133937
0.0146023 0.0143905 0.0143906
0.0156261 0.0153838 0.0153839
0.0166488 0.0163739 0.0163739
0.0176706 0.017361 0.0173611
0.0186917 0.0183455 0.0183456
0.0197123 0.0193275 0.0193276
0.0207325 0.020307 0.0203071
0.0217524 0.0212843 0.0212844
0.0227721 0.0222593 0.0222594
0.0237916 0.0232322 0.0232323
0.024811 0.0242029 0.024203
0.0258303 0.0251716 0.0251717
0.0268496 0.0261382 0.0261383
0.0278689 0.0271028 0.0271029
0.0288882 0.0280655 0.0280656
0.0299075 0.0290262 0.0290263
0.0309269 0.029985 0.0299851
0.0319464 0.0309418 0.030942
0.032966 0.0318968 0.0318969
0.0339857 0.0328499 0.03285
0.0350055 0.0338011 0.0338013
0.0360254 0.0347505 0.0347507
0.0370455 0.0356981 0.0356982
0.0380657 0.0366438 0.0366439
0.0390861 0.0375877 0.0375878
0.0401067 0.0385298 0.03853
0.0411274 0.0394701 0.0394703
0.0421484 0.0404086 0.0404088
0.0431695 0.0413454 0.0413455
0.0441908 0.0422803 0.0422805
0.0452123 0.0432135 0.0432137
0.0462341 0.044145 0.0441452
0.0472561 0.0450747 0.0450749
0.0482782 0.0460026 0.0460028
0.0493007 0.0469289 0.046929
0.0503233 0.0478533 0.0478535
0.0513462 0.0487761 0.0487763
0.0523693 0.0496971 0.0496973
0.0533927 0.0506164 0.0506167
0.0544163 0.0515341 0.0515343
0.0554401 0.05245 0.0524502
0.0564642 0.0533642 0.0533644
0.0574886 0.0542767 0.0542769
0.0585132 0.0551875 0.0551877
0.0595381 0.0560966 0.0560968
0.0605633 0.057004 0.0570043
0.0615887 0.0579098 0.05791
0.0626144 0.0588138 0.0588141
0.0636404 0.0597162 0.0597165
0.0646667 0.060617 0.0606172
0.0656932 0.061516 0.0615163
0.06672 0.0624134 0.0624137
0.0677471 0.0633092 0.0633095
0.0687745 0.0642033 0.0642036
0.0698022 0.0650957 0.065096
0.0708301 0.0659865 0.0659868
0.0718584 0.0668756 0.0668759
0.072887 0.0677632 0.0677634
0.0739158 0.068649 0.0686493
0.074945 0.0695332 0.0695335
0.0759744 0.0704158 0.0704161
0.0770042 0.0712968 0.0712971
0.0780343 0.0721761 0.0721764
0.0790646 0.0730538 0.0730542
0.0800953 0.0739299 0.0739303
0.0811263 0.0748044 0.0748047
0.0821576 0.0756773 0.0756776
0.0831893 0.0765485 0.0765488
0.0842212 0.0774181 0.0774185
0.0852535 0.0782862 0.0782865
0.0862861 0.0791526 0.0791529
0.087319 0.0800174 0.0800178
0.0883522 0.0808806 0.080881
0.0893858 0.0817423 0.0817426
0.0904196 0.0826023 0.0826027
0.0914539 0.0834607 0.0834611
0.0924884 0.0843176 0.084318
0.0935233 0.0851729 0.0851732
0.0945585 0.0860265 0.0860269
0.0955941 0.0868786 0.086879
0.0966299 0.0877292 0.0877295
0.0976662 0.0885781 0.0885785
0.0987027 0.0894255 0.0894259
0.0997397 0.0902713 0.0902717
0.100777 0.0911155 0.0911159
0.101815 0.0919582 0.0919586
0.102852 0.0927993 0.0927997
0.103891 0.0936388 0.0936392
0.104929 0.0944768 0.0944772
0.105968 0.0953132 0.0953136
0.107008 0.0961481 0.0961485
0.108048 0.0969814 0.0969818
0.109088 0.0978131 0.0978136
0.110128 0.0986434 0.0986438
0.111169 0.099472 0.0994725
0.11221 0.100299 0.1003
0.113251 0.101125 0.101125
0.114293 0.101949 0.101949
0.115336 0.102771 0.102772
0.116378 0.103592 0.103593
0.117421 0.104412 0.104412
0.118465 0.10523 0.10523
0.119508 0.106046 0.106047
0.120552 0.106861 0.106861
0.121597 0.107674 0.107675
0.122642 0.108486 0.108487
0.123687 0.109296 0.109297
0.124733 0.110105 0.110106
0.125779 0.110912 0.110913
0.126825 0.111718 0.111719
0.127872 0.112522 0.112523
0.128919 0.113325 0.113326
0.129967 0.114126 0.114127
0.131014 0.114926 0.114927
0.132063 0.115724 0.115725
0.133111 0.116521 0.116521
0.134161 0.117316 0.117317
0.13521 0.11811 0.11811
0.13626 0.118902 0.118903
0.13731 0.119693 0.119693
0.138361 0.120482 0.120483
0.139412 0.12127 0.12127
0.140464 0.122056 0.122057
0.141516 0.122841 0.122841
0.142568 0.123624 0.123625
0.143621 0.124406 0.124407
0.144674 0.125186 0.125187
0.145727 0.125965 0.125966
0.146781 0.126743 0.126743
0.147836 0.127518 0.127519
0.148891 0.128293 0.128294
0.149946 0.129066 0.129067
0.151001 0.129837 0.129838
0.152057 0.130607 0.130608
0.153114 0.131376 0.131377
0.154171 0.132143 0.132144
0.155228 0.132909 0.132909
